business_effective_date,txn_id,account_id,txn_timestamp,txn_type,amount,merchant,city,category
2024-01-01,500071,30030,2024-01-01 15:32:13,credit,2739.81,Walmart,Boston,deposit
2024-01-01,500072,30040,2024-01-01 05:29:29,debit,3470.06,Shell,Seattle,shopping
2024-01-01,500073,30040,2024-01-01 15:06:17,debit,2713.51,Payroll Inc,New York,subscription
2024-01-01,500074,30040,2024-01-01 15:17:49,debit,3849.21,Shell,New York,utility
2024-01-01,500075,30040,2024-01-01 13:50:57,debit,4713.77,Uber,Denver,salary
2024-01-01,500076,30040,2024-01-01 19:35:45,debit,2731.12,Target,Seattle,deposit
2024-01-01,500077,30041,2024-01-01 17:01:01,credit,4903.63,Bank Transfer,New York,salary
2024-01-01,500078,30041,2024-01-01 21:33:00,debit,136.48,Netflix,Denver,grocery
2024-01-01,500079,30041,2024-01-01 16:48:35,debit,1301.52,Apple Store,Seattle,deposit
2024-01-01,500080,30041,2024-01-01 11:54:00,debit,4398.32,Uber,Denver,transport
2024-01-01,500081,30041,2024-01-01 02:58:55,debit,3745.37,Starbucks,Austin,subscription
2024-01-01,500082,30050,2024-01-01 06:06:32,debit,4818.71,Shell,Chicago,grocery
2024-01-01,500083,30050,2024-01-01 11:19:28,debit,129.37,Uber,San Francisco,entertainment
2024-01-01,500084,30050,2024-01-01 13:39:52,debit,3575.36,Amazon,San Francisco,entertainment
2024-01-01,500085,30050,2024-01-01 08:50:30,debit,3862.63,Netflix,San Francisco,shopping
2024-01-01,500086,30050,2024-01-01 20:36:17,credit,1736.67,Payroll Inc,Austin,shopping
2024-01-01,500087,30050,2024-01-01 18:25:17,debit,64.25,Payroll Inc,Boston,shopping
2024-01-01,500088,30050,2024-01-01 15:47:02,credit,3178.29,Cash Deposit,Miami,salary
2024-01-01,500089,30050,2024-01-01 06:24:46,debit,4827.4,Uber,San Francisco,transfer
2024-01-01,500090,30060,2024-01-01 22:13:17,debit,1682.65,Cash Deposit,Austin,grocery
2024-01-01,500091,30060,2024-01-01 17:45:04,debit,3989.36,Apple Store,San Diego,utility
2024-01-01,500092,30060,2024-01-01 10:03:31,debit,2583.62,Spotify,Chicago,subscription
2024-01-01,500093,30060,2024-01-01 14:47:51,debit,3791.07,Shell,Boston,entertainment
2024-01-01,500094,30060,2024-01-01 17:52:12,debit,87.2,Uber,Seattle,salary
2024-01-01,500095,30060,2024-01-01 08:51:30,debit,2908.2,Cash Deposit,Atlanta,transfer
2024-01-01,500096,30060,2024-01-01 12:30:56,debit,3729.93,Apple Store,Austin,deposit
2024-01-01,500097,30060,2024-01-01 09:51:49,debit,1153.46,Shell,Seattle,electronics
2024-01-01,500098,30060,2024-01-01 04:21:10,debit,4754.44,Shell,Miami,subscription
2024-01-01,500099,30060,2024-01-01 07:52:41,debit,1383.22,Target,Atlanta,utility
2024-01-01,500100,30060,2024-01-01 10:18:13,credit,4163.31,Uber,Seattle,electronics
2024-01-01,500101,30060,2024-01-01 06:31:59,debit,3540.38,Walmart,San Diego,food
2024-01-01,500102,30061,2024-01-01 10:21:08,debit,2202.9,Walmart,New York,transport
2024-01-01,500103,30061,2024-01-01 17:23:36,debit,327.65,Cash Deposit,Chicago,utility
2024-01-01,500104,30061,2024-01-01 22:55:02,debit,759.48,Target,San Diego,shopping
2024-01-01,500105,30061,2024-01-01 09:02:10,debit,3822.45,Target,San Francisco,utility
2024-01-01,500106,30061,2024-01-01 08:13:01,credit,1902.51,Cash Deposit,San Diego,utility
2024-01-01,500107,30061,2024-01-01 15:36:47,debit,3105.52,Target,Chicago,subscription
2024-01-01,500108,30061,2024-01-01 22:46:27,debit,3302.48,Walmart,Seattle,grocery
2024-01-01,500109,30061,2024-01-01 20:05:50,debit,14.38,Cash Deposit,San Francisco,deposit
2024-01-01,500110,30061,2024-01-01 10:36:15,debit,1441.24,Uber,Boston,shopping
2024-01-01,500111,30061,2024-01-01 08:29:55,credit,3939.35,Netflix,San Francisco,entertainment
2024-01-01,500112,30061,2024-01-01 07:12:08,debit,2723.27,Netflix,Miami,transport
2024-01-01,500113,30061,2024-01-01 05:10:43,debit,830.45,Uber,San Francisco,utility
2024-01-01,500114,30070,2024-01-01 11:44:07,debit,130.3,Spotify,San Francisco,utility
2024-01-01,500115,30070,2024-01-01 00:45:19,credit,3361.74,Uber,San Francisco,food
2024-01-01,500116,30070,2024-01-01 06:22:42,debit,3257.9,Uber,Miami,utility
2024-01-01,500117,30070,2024-01-01 15:52:12,debit,2459.14,Amazon,Boston,electronics
2024-01-01,500118,30070,2024-01-01 14:52:03,debit,3351.0,Walmart,Austin,salary
2024-01-01,500119,30070,2024-01-01 18:02:22,debit,4726.02,Bank Transfer,New York,deposit
2024-01-01,500120,30070,2024-01-01 03:12:22,debit,1617.05,Payroll Inc,Atlanta,food
2024-01-01,500121,30070,2024-01-01 23:56:40,credit,2310.42,Starbucks,Seattle,transfer
2024-01-01,500122,30070,2024-01-01 13:10:19,debit,2492.97,Cash Deposit,New York,subscription
2024-01-01,500123,30071,2024-01-01 01:03:03,credit,3044.75,Spotify,Miami,transport
2024-01-01,500124,30071,2024-01-01 20:03:19,debit,2040.55,Spotify,Chicago,deposit
2024-01-01,500125,30071,2024-01-01 04:16:36,debit,770.7,Shell,San Diego,transfer
2024-01-01,500126,30071,2024-01-01 09:57:18,debit,2413.02,Cash Deposit,Seattle,deposit
2024-01-01,500127,30072,2024-01-01 15:06:27,debit,3938.8,Uber,New York,transport
2024-01-01,500128,30072,2024-01-01 10:52:12,credit,2900.04,Netflix,Boston,grocery
2024-01-01,500129,30072,2024-01-01 16:15:29,debit,1726.27,Bank Transfer,Atlanta,salary
2024-01-01,500130,30072,2024-01-01 16:34:42,credit,4348.14,Shell,Seattle,utility
2024-01-01,500131,30072,2024-01-01 13:56:36,debit,3877.95,Starbucks,Austin,deposit
2024-01-01,500132,30072,2024-01-01 13:52:48,debit,3318.78,Netflix,Miami,deposit
2024-01-01,500133,30072,2024-01-01 01:20:52,debit,4826.8,Apple Store,Chicago,deposit
2024-01-01,500134,30080,2024-01-01 19:25:42,debit,1583.99,Shell,Boston,transfer
2024-01-01,500135,30080,2024-01-01 01:18:25,debit,1174.62,Netflix,San Diego,subscription
2024-01-01,500136,30080,2024-01-01 03:17:26,debit,493.12,Netflix,Chicago,deposit
2024-01-01,500137,30080,2024-01-01 06:03:25,debit,4517.22,Starbucks,Austin,food
2024-01-01,500138,30080,2024-01-01 10:40:52,debit,2154.0,Spotify,Atlanta,salary
2024-01-01,500139,30080,2024-01-01 20:36:17,debit,901.1,Walmart,Chicago,utility
2024-01-01,500140,30080,2024-01-01 13:55:40,debit,1204.91,Target,Miami,subscription
2024-01-01,500141,30080,2024-01-01 16:47:23,debit,2298.39,Netflix,New York,deposit
2024-01-01,500142,30081,2024-01-01 09:06:20,debit,1511.31,Payroll Inc,Boston,shopping
2024-01-01,500143,30081,2024-01-01 08:38:11,debit,1795.44,Uber,San Diego,food
2024-01-01,500144,30081,2024-01-01 23:57:55,debit,41.48,Netflix,New York,utility
2024-01-01,500145,30081,2024-01-01 18:05:07,credit,4514.77,Spotify,San Francisco,electronics
2024-01-01,500146,30081,2024-01-01 07:58:25,debit,3104.83,Netflix,Miami,entertainment
2024-01-01,500147,30081,2024-01-01 03:32:15,credit,3232.06,Uber,Boston,food
2024-01-01,500148,30081,2024-01-01 21:06:05,debit,657.93,Uber,Austin,salary
2024-01-01,500149,30081,2024-01-01 06:23:41,debit,3932.78,Apple Store,Atlanta,transfer
2024-01-01,500150,30081,2024-01-01 09:55:20,credit,1285.59,Cash Deposit,San Diego,electronics
2024-01-01,500151,30082,2024-01-01 13:19:02,debit,1973.48,Uber,Atlanta,shopping
2024-01-01,500152,30082,2024-01-01 16:33:29,debit,3745.31,Uber,San Francisco,salary
2024-01-01,500153,30082,2024-01-01 23:14:55,credit,542.62,Spotify,Boston,food
2024-01-01,500154,30082,2024-01-01 22:33:25,credit,2807.48,Target,Seattle,entertainment
2024-01-01,500155,30082,2024-01-01 02:18:05,debit,2321.87,Shell,San Diego,entertainment
2024-01-01,500156,30082,2024-01-01 14:51:56,debit,227.69,Starbucks,San Diego,deposit
2024-01-01,500157,30082,2024-01-01 04:13:40,debit,4436.41,Walmart,Denver,deposit
2024-01-01,500158,30082,2024-01-01 13:30:29,debit,3715.96,Bank Transfer,Denver,utility
2024-01-01,500159,30082,2024-01-01 05:37:33,credit,3274.95,Cash Deposit,San Francisco,salary
2024-01-01,500160,30082,2024-01-01 10:11:06,debit,1853.28,Cash Deposit,Boston,subscription
2024-01-01,500161,30082,2024-01-01 13:12:17,debit,3428.72,Bank Transfer,Austin,food
2024-01-01,500162,30090,2024-01-01 20:10:41,debit,1080.54,Spotify,Austin,grocery
2024-01-01,500163,30090,2024-01-01 21:41:56,debit,4292.17,Walmart,Miami,transfer
2024-01-01,500164,30090,2024-01-01 09:07:33,credit,550.52,Starbucks,Miami,food
2024-01-01,500165,30090,2024-01-01 13:02:35,credit,1190.42,Apple Store,New York,grocery
2024-01-01,500166,30091,2024-01-01 16:19:16,credit,2566.68,Amazon,Boston,transfer
2024-01-01,500167,30091,2024-01-01 08:03:58,credit,217.78,Netflix,Atlanta,transport
2024-01-01,500168,30091,2024-01-01 16:40:36,debit,156.72,Cash Deposit,Denver,salary
2024-01-01,500169,30091,2024-01-01 03:55:50,debit,4548.59,Amazon,Chicago,electronics
2024-01-01,500170,30091,2024-01-01 22:08:50,debit,631.83,Target,San Francisco,transfer
2024-01-01,500171,30091,2024-01-01 11:50:22,debit,2987.36,Uber,Boston,transfer
2024-01-01,500172,30091,2024-01-01 22:02:34,debit,3965.69,Amazon,Atlanta,subscription
2024-01-01,500173,30091,2024-01-01 15:39:30,debit,1143.24,Apple Store,Boston,salary
2024-01-01,500174,30091,2024-01-01 15:08:44,debit,1563.43,Apple Store,San Diego,electronics
2024-01-01,500175,30091,2024-01-01 05:33:26,debit,2371.87,Amazon,Chicago,shopping
2024-01-01,500176,30092,2024-01-01 14:57:25,debit,3327.04,Payroll Inc,New York,transport
2024-01-01,500177,30092,2024-01-01 21:51:36,debit,518.9,Bank Transfer,Seattle,grocery
2024-01-01,500178,30092,2024-01-01 23:54:39,debit,4236.53,Apple Store,Atlanta,electronics
2024-01-01,500179,30092,2024-01-01 04:10:58,credit,2870.93,Payroll Inc,Atlanta,utility
2024-01-01,500180,30100,2024-01-01 23:55:59,debit,710.23,Netflix,New York,shopping
2024-01-01,500181,30100,2024-01-01 19:18:51,debit,2099.74,Apple Store,Miami,electronics
2024-01-01,500182,30100,2024-01-01 11:20:46,debit,3884.4,Target,San Francisco,shopping
2024-01-01,500183,30100,2024-01-01 01:54:55,debit,3772.42,Starbucks,Chicago,transport
2024-01-01,500184,30100,2024-01-01 16:07:59,debit,2428.82,Cash Deposit,Denver,transport
2024-01-01,500185,30100,2024-01-01 07:50:55,credit,569.97,Payroll Inc,Chicago,transport
2024-01-01,500186,30100,2024-01-01 21:35:43,debit,3336.0,Starbucks,Seattle,salary
2024-01-01,500187,30100,2024-01-01 21:49:14,debit,1022.91,Spotify,Miami,transport
2024-01-01,500188,30100,2024-01-01 10:32:18,debit,39.64,Shell,Denver,grocery
2024-01-01,500189,30100,2024-01-01 04:42:12,debit,3518.65,Bank Transfer,Atlanta,entertainment
2024-01-01,500190,30100,2024-01-01 12:53:41,debit,4308.96,Starbucks,Denver,food
2024-01-01,500191,30100,2024-01-01 16:44:20,credit,4310.69,Target,Denver,utility
2024-01-01,500192,30110,2024-01-01 15:51:44,debit,2620.29,Payroll Inc,San Diego,electronics
2024-01-01,500193,30110,2024-01-01 08:04:01,debit,841.5,Bank Transfer,Chicago,transfer
2024-01-01,500194,30110,2024-01-01 18:34:00,debit,3881.36,Apple Store,Miami,subscription
2024-01-01,500195,30110,2024-01-01 03:44:34,debit,987.16,Target,Miami,entertainment
2024-01-01,500196,30110,2024-01-01 02:44:36,debit,3864.47,Cash Deposit,Boston,utility
2024-01-01,500197,30110,2024-01-01 21:05:52,debit,4620.85,Target,San Francisco,electronics
2024-01-01,500198,30120,2024-01-01 16:48:41,debit,285.39,Uber,Chicago,entertainment
2024-01-01,500199,30120,2024-01-01 03:17:15,debit,2535.83,Cash Deposit,San Francisco,transfer
2024-01-01,500200,30120,2024-01-01 01:29:36,debit,4049.27,Netflix,Seattle,electronics
2024-01-01,500201,30120,2024-01-01 22:01:39,debit,755.15,Starbucks,Boston,shopping
2024-01-01,500202,30120,2024-01-01 12:30:15,credit,422.56,Netflix,Miami,food
2024-01-01,500203,30120,2024-01-01 09:01:12,debit,4954.94,Bank Transfer,Atlanta,utility
2024-01-01,500204,30120,2024-01-01 05:46:47,debit,4589.77,Payroll Inc,Denver,electronics
2024-01-01,500205,30121,2024-01-01 05:28:29,debit,2914.11,Walmart,Austin,transport
2024-01-01,500206,30121,2024-01-01 23:53:10,debit,1960.4,Target,Chicago,transport
2024-01-01,500207,30121,2024-01-01 20:20:59,debit,3958.52,Walmart,Atlanta,shopping
2024-01-01,500208,30121,2024-01-01 23:31:15,debit,2542.93,Starbucks,Austin,transport
2024-01-01,500209,30121,2024-01-01 06:33:47,credit,1709.32,Cash Deposit,Seattle,subscription
2024-01-01,500210,30121,2024-01-01 05:00:30,debit,1479.66,Amazon,Atlanta,transfer
2024-01-01,500211,30121,2024-01-01 19:10:13,debit,1684.49,Target,Miami,utility
2024-01-01,500212,30121,2024-01-01 13:42:57,debit,905.05,Shell,San Francisco,grocery
2024-01-01,500213,30121,2024-01-01 15:56:06,debit,1822.13,Shell,Seattle,deposit
2024-01-01,500214,30121,2024-01-01 22:13:51,debit,3742.93,Cash Deposit,Seattle,transfer
2024-01-01,500215,30121,2024-01-01 08:42:28,debit,4043.31,Cash Deposit,Seattle,electronics
2024-01-01,500216,30121,2024-01-01 20:46:06,credit,2308.94,Uber,Denver,transfer
2024-01-01,500217,30130,2024-01-01 03:03:13,credit,1364.68,Bank Transfer,Miami,salary
2024-01-01,500218,30130,2024-01-01 03:20:21,credit,1110.97,Cash Deposit,Austin,food
2024-01-01,500219,30130,2024-01-01 15:06:21,debit,2510.53,Spotify,Denver,shopping
2024-01-01,500220,30130,2024-01-01 13:39:00,debit,1594.11,Amazon,Austin,grocery
2024-01-01,500221,30130,2024-01-01 05:00:35,debit,4587.06,Cash Deposit,Miami,deposit
2024-01-01,500222,30130,2024-01-01 16:19:59,debit,4529.38,Starbucks,San Diego,subscription
2024-01-01,500223,30130,2024-01-01 05:26:37,debit,3636.45,Bank Transfer,Denver,shopping
2024-01-01,500224,30131,2024-01-01 04:02:10,credit,2499.65,Bank Transfer,New York,entertainment
2024-01-01,500225,30131,2024-01-01 18:45:51,debit,3593.0,Uber,Denver,food
2024-01-01,500226,30131,2024-01-01 22:23:04,debit,2853.75,Walmart,Chicago,transfer
2024-01-01,500227,30131,2024-01-01 13:07:45,debit,2630.77,Bank Transfer,Atlanta,transfer
2024-01-01,500228,30140,2024-01-01 21:11:11,debit,1663.26,Starbucks,Austin,transfer
2024-01-01,500229,30140,2024-01-01 12:19:34,credit,876.27,Netflix,Boston,deposit
2024-01-01,500230,30140,2024-01-01 23:00:02,debit,675.13,Shell,Boston,food
2024-01-01,500231,30140,2024-01-01 10:41:02,debit,3955.75,Starbucks,Austin,transport
2024-01-01,500232,30141,2024-01-01 12:59:49,credit,239.97,Netflix,Austin,transport
2024-01-01,500233,30141,2024-01-01 04:31:55,credit,2185.32,Payroll Inc,Boston,salary
2024-01-01,500234,30141,2024-01-01 12:20:38,credit,2481.52,Cash Deposit,Austin,transfer
2024-01-01,500235,30141,2024-01-01 09:42:39,credit,3635.68,Amazon,Denver,utility
2024-01-01,500236,30141,2024-01-01 06:34:12,debit,1606.74,Amazon,Austin,entertainment
2024-01-01,500237,30141,2024-01-01 10:45:50,debit,3013.51,Payroll Inc,Miami,deposit
2024-01-01,500238,30141,2024-01-01 12:47:57,debit,3634.35,Apple Store,San Francisco,salary
2024-01-01,500239,30150,2024-01-01 01:16:01,debit,1180.74,Netflix,Austin,electronics
2024-01-01,500240,30150,2024-01-01 13:56:21,credit,162.89,Walmart,Boston,electronics
2024-01-01,500241,30150,2024-01-01 13:32:40,debit,385.35,Walmart,Atlanta,electronics
2024-01-01,500242,30150,2024-01-01 14:29:31,debit,1394.17,Amazon,New York,grocery
2024-01-01,500243,30150,2024-01-01 18:10:10,debit,4567.8,Amazon,San Diego,transport
2024-01-01,500244,30150,2024-01-01 16:14:53,debit,3059.77,Shell,Boston,subscription
2024-01-01,500245,30150,2024-01-01 04:27:54,debit,371.19,Walmart,Boston,shopping
2024-01-01,500246,30150,2024-01-01 11:38:09,debit,3547.99,Bank Transfer,Atlanta,transport
2024-01-01,500247,30150,2024-01-01 10:55:15,credit,3559.33,Shell,Miami,electronics
2024-01-01,500248,30150,2024-01-01 18:31:23,debit,4925.68,Walmart,Seattle,deposit
2024-01-01,500249,30151,2024-01-01 11:15:39,debit,3584.95,Cash Deposit,Atlanta,salary
2024-01-01,500250,30151,2024-01-01 14:54:25,credit,369.68,Apple Store,Chicago,deposit
2024-01-01,500251,30151,2024-01-01 16:57:37,debit,1723.23,Bank Transfer,San Francisco,grocery
2024-01-01,500252,30151,2024-01-01 04:41:52,debit,4553.65,Starbucks,Chicago,transfer
2024-01-01,500253,30160,2024-01-01 09:59:32,debit,1514.82,Bank Transfer,Chicago,transfer
2024-01-01,500254,30160,2024-01-01 23:20:15,debit,4708.09,Walmart,Miami,entertainment
2024-01-01,500255,30160,2024-01-01 22:44:11,debit,3026.09,Target,New York,food
2024-01-01,500256,30160,2024-01-01 02:57:26,debit,3207.63,Target,San Diego,entertainment
2024-01-01,500257,30160,2024-01-01 07:40:31,credit,2083.52,Netflix,New York,deposit
2024-01-01,500258,30160,2024-01-01 22:50:03,debit,3209.89,Uber,Boston,subscription
2024-01-01,500259,30160,2024-01-01 14:47:07,debit,365.79,Starbucks,Miami,deposit
2024-01-01,500260,30160,2024-01-01 15:07:56,debit,1020.91,Target,Miami,electronics
2024-01-01,500261,30160,2024-01-01 11:37:33,debit,4304.03,Payroll Inc,Miami,electronics
2024-01-01,500262,30160,2024-01-01 18:44:59,debit,1596.26,Cash Deposit,Chicago,transport
2024-01-01,500263,30160,2024-01-01 16:22:09,debit,484.96,Uber,Denver,utility
2024-01-01,500264,30161,2024-01-01 05:48:05,debit,2574.11,Cash Deposit,San Diego,deposit
2024-01-01,500265,30161,2024-01-01 00:50:37,debit,1966.82,Cash Deposit,Seattle,subscription
2024-01-01,500266,30161,2024-01-01 21:14:20,debit,253.65,Cash Deposit,San Francisco,entertainment
2024-01-01,500267,30161,2024-01-01 17:08:00,debit,41.88,Amazon,Denver,grocery
2024-01-01,500268,30161,2024-01-01 09:37:44,debit,3819.52,Apple Store,New York,salary
2024-01-01,500269,30161,2024-01-01 01:51:45,debit,974.08,Bank Transfer,San Diego,shopping
2024-01-01,500270,30170,2024-01-01 07:14:50,debit,2007.53,Starbucks,New York,food
2024-01-01,500271,30170,2024-01-01 04:59:21,debit,4020.03,Bank Transfer,Boston,grocery
2024-01-01,500272,30170,2024-01-01 22:04:23,credit,699.77,Target,Austin,grocery
2024-01-01,500273,30170,2024-01-01 14:18:25,credit,3696.86,Uber,San Francisco,electronics
2024-01-01,500274,30170,2024-01-01 18:28:14,credit,2662.17,Shell,San Francisco,transport
2024-01-01,500275,30180,2024-01-01 21:01:51,debit,257.72,Cash Deposit,Miami,transfer
2024-01-01,500276,30180,2024-01-01 22:54:07,debit,3873.26,Payroll Inc,Miami,entertainment
2024-01-01,500277,30180,2024-01-01 08:49:05,debit,4741.08,Amazon,Seattle,food
2024-01-01,500278,30180,2024-01-01 16:03:27,debit,758.0,Shell,Seattle,salary
2024-01-01,500279,30180,2024-01-01 18:16:14,credit,4602.68,Shell,New York,grocery
2024-01-01,500280,30180,2024-01-01 18:53:04,debit,1625.92,Netflix,Boston,transfer
2024-01-01,500281,30180,2024-01-01 13:43:11,debit,866.74,Bank Transfer,Austin,transfer
2024-01-01,500282,30180,2024-01-01 12:53:57,debit,4338.4,Netflix,San Diego,utility
2024-01-01,500283,30180,2024-01-01 17:37:42,debit,1233.35,Bank Transfer,San Diego,subscription
2024-01-01,500284,30180,2024-01-01 10:50:08,credit,3524.8,Shell,Boston,electronics
2024-01-01,500285,30180,2024-01-01 17:28:08,debit,4668.57,Shell,San Diego,transport
2024-01-01,500286,30180,2024-01-01 04:26:14,debit,2716.41,Payroll Inc,Austin,grocery
2024-01-01,500287,30181,2024-01-01 07:47:27,debit,2693.35,Bank Transfer,San Diego,grocery
2024-01-01,500288,30181,2024-01-01 03:58:36,debit,2934.57,Spotify,New York,entertainment
2024-01-01,500289,30181,2024-01-01 19:20:04,debit,1164.95,Amazon,Denver,electronics
2024-01-01,500290,30181,2024-01-01 17:11:58,debit,3854.06,Starbucks,Atlanta,grocery
2024-01-01,500291,30181,2024-01-01 14:48:54,debit,4403.36,Cash Deposit,Boston,entertainment
