business_effective_date,branch_id,branch_name,city
2024-01-14,431,Midtown Branch - 2024-01-14,Austin
2024-01-14,432,Lakeshore Branch - 2024-01-14,Chicago
2024-01-14,433,Capitol Hill - 2024-01-14,Miami
2024-01-14,434,La Jolla Branch - 2024-01-14,Seattle
2024-01-15,441,Midtown Branch - 2024-01-15,San Francisco
2024-01-15,442,Lakeshore Branch - 2024-01-15,Boston
2024-01-15,443,Capitol Hill - 2024-01-15,Atlanta
2024-01-15,444,La Jolla Branch - 2024-01-15,Boston
2024-01-16,451,Midtown Branch - 2024-01-16,Boston
2024-01-16,452,Lakeshore Branch - 2024-01-16,San Diego
2024-01-16,453,Capitol Hill - 2024-01-16,Denver
2024-01-16,454,La Jolla Branch - 2024-01-16,New York
2024-01-17,461,Midtown Branch - 2024-01-17,San Diego
2024-01-17,462,Lakeshore Branch - 2024-01-17,Denver
2024-01-17,463,Capitol Hill - 2024-01-17,Austin
2024-01-17,464,La Jolla Branch - 2024-01-17,Chicago
2024-01-18,471,Midtown Branch - 2024-01-18,New York
2024-01-18,472,Lakeshore Branch - 2024-01-18,New York
2024-01-18,473,Capitol Hill - 2024-01-18,Boston
2024-01-18,474,La Jolla Branch - 2024-01-18,Miami
2024-01-19,481,Midtown Branch - 2024-01-19,Denver
2024-01-19,482,Lakeshore Branch - 2024-01-19,New York
2024-01-19,483,Capitol Hill - 2024-01-19,Boston
2024-01-19,484,La Jolla Branch - 2024-01-19,San Diego
2024-01-20,491,Midtown Branch - 2024-01-20,Seattle
2024-01-20,492,Lakeshore Branch - 2024-01-20,Austin
2024-01-20,493,Capitol Hill - 2024-01-20,Atlanta
2024-01-20,494,La Jolla Branch - 2024-01-20,San Francisco
2024-01-21,501,Midtown Branch - 2024-01-21,Boston
2024-01-21,502,Lakeshore Branch - 2024-01-21,Miami
2024-01-21,503,Capitol Hill - 2024-01-21,San Diego
2024-01-21,504,La Jolla Branch - 2024-01-21,San Diego
2024-01-22,511,Midtown Branch - 2024-01-22,Denver
2024-01-22,512,Lakeshore Branch - 2024-01-22,Seattle
2024-01-22,513,Capitol Hill - 2024-01-22,Boston
2024-01-22,514,La Jolla Branch - 2024-01-22,Chicago
2024-01-23,521,Midtown Branch - 2024-01-23,Miami
2024-01-23,522,Lakeshore Branch - 2024-01-23,Denver
2024-01-23,523,Capitol Hill - 2024-01-23,Boston
2024-01-23,524,La Jolla Branch - 2024-01-23,Seattle
2024-01-24,531,Midtown Branch - 2024-01-24,Boston
2024-01-24,532,Lakeshore Branch - 2024-01-24,Atlanta
2024-01-24,533,Capitol Hill - 2024-01-24,Atlanta
2024-01-24,534,La Jolla Branch - 2024-01-24,Chicago
2024-01-25,541,Midtown Branch - 2024-01-25,Chicago
2024-01-25,542,Lakeshore Branch - 2024-01-25,San Francisco
2024-01-25,543,Capitol Hill - 2024-01-25,Atlanta
2024-01-25,544,La Jolla Branch - 2024-01-25,Chicago
2024-01-26,551,Midtown Branch - 2024-01-26,Boston
2024-01-26,552,Lakeshore Branch - 2024-01-26,Austin
2024-01-26,553,Capitol Hill - 2024-01-26,Miami
2024-01-26,554,La Jolla Branch - 2024-01-26,Atlanta
2024-01-27,561,Midtown Branch - 2024-01-27,San Diego
2024-01-27,562,Lakeshore Branch - 2024-01-27,Seattle
2024-01-27,563,Capitol Hill - 2024-01-27,San Francisco
2024-01-27,564,La Jolla Branch - 2024-01-27,Miami
2024-01-28,571,Midtown Branch - 2024-01-28,Miami
2024-01-28,572,Lakeshore Branch - 2024-01-28,Austin
2024-01-28,573,Capitol Hill - 2024-01-28,New York
2024-01-28,574,La Jolla Branch - 2024-01-28,Chicago
2024-01-29,581,Midtown Branch - 2024-01-29,San Diego
2024-01-29,582,Lakeshore Branch - 2024-01-29,Seattle
2024-01-29,583,Capitol Hill - 2024-01-29,Seattle
2024-01-29,584,La Jolla Branch - 2024-01-29,New York
2024-01-30,591,Midtown Branch - 2024-01-30,New York
2024-01-30,592,Lakeshore Branch - 2024-01-30,Miami
2024-01-30,593,Capitol Hill - 2024-01-30,Austin
2024-01-30,594,La Jolla Branch - 2024-01-30,San Diego
2024-01-31,601,Midtown Branch - 2024-01-31,San Francisco
2024-01-31,602,Lakeshore Branch - 2024-01-31,Miami
2024-01-31,603,Capitol Hill - 2024-01-31,Denver
2024-01-31,604,La Jolla Branch - 2024-01-31,Atlanta
2024-02-01,611,Midtown Branch - 2024-02-01,Seattle
2024-02-01,612,Lakeshore Branch - 2024-02-01,Miami
2024-02-01,613,Capitol Hill - 2024-02-01,Denver
2024-02-01,614,La Jolla Branch - 2024-02-01,Seattle
2024-02-02,621,Midtown Branch - 2024-02-02,Boston
2024-02-02,622,Lakeshore Branch - 2024-02-02,Denver
2024-02-02,623,Capitol Hill - 2024-02-02,Boston
2024-02-02,624,La Jolla Branch - 2024-02-02,San Francisco
2024-02-03,631,Midtown Branch - 2024-02-03,Boston
2024-02-03,632,Lakeshore Branch - 2024-02-03,Seattle
2024-02-03,633,Capitol Hill - 2024-02-03,Miami
2024-02-03,634,La Jolla Branch - 2024-02-03,Denver
2024-02-04,641,Midtown Branch - 2024-02-04,Atlanta
2024-02-04,642,Lakeshore Branch - 2024-02-04,Atlanta
2024-02-04,643,Capitol Hill - 2024-02-04,San Francisco
2024-02-04,644,La Jolla Branch - 2024-02-04,Boston
2024-02-05,651,Midtown Branch - 2024-02-05,Boston
2024-02-05,652,Lakeshore Branch - 2024-02-05,Atlanta
2024-02-05,653,Capitol Hill - 2024-02-05,San Diego
2024-02-05,654,La Jolla Branch - 2024-02-05,Austin
2024-02-06,661,Midtown Branch - 2024-02-06,Miami
2024-02-06,662,Lakeshore Branch - 2024-02-06,Boston
2024-02-06,663,Capitol Hill - 2024-02-06,San Francisco
2024-02-06,664,La Jolla Branch - 2024-02-06,Chicago
2024-02-07,671,Midtown Branch - 2024-02-07,Austin
2024-02-07,672,Lakeshore Branch - 2024-02-07,San Francisco
2024-02-07,673,Capitol Hill - 2024-02-07,San Diego
2024-02-07,674,La Jolla Branch - 2024-02-07,Miami
2024-02-08,681,Midtown Branch - 2024-02-08,Denver
2024-02-08,682,Lakeshore Branch - 2024-02-08,Boston
2024-02-08,683,Capitol Hill - 2024-02-08,San Diego
2024-02-08,684,La Jolla Branch - 2024-02-08,New York
2024-02-09,691,Midtown Branch - 2024-02-09,Boston
2024-02-09,692,Lakeshore Branch - 2024-02-09,San Francisco
2024-02-09,693,Capitol Hill - 2024-02-09,Denver
2024-02-09,694,La Jolla Branch - 2024-02-09,Boston
2024-02-10,701,Midtown Branch - 2024-02-10,Seattle
2024-02-10,702,Lakeshore Branch - 2024-02-10,Chicago
2024-02-10,703,Capitol Hill - 2024-02-10,Chicago
2024-02-10,704,La Jolla Branch - 2024-02-10,Miami
2024-02-11,711,Midtown Branch - 2024-02-11,Miami
2024-02-11,712,Lakeshore Branch - 2024-02-11,Seattle
2024-02-11,713,Capitol Hill - 2024-02-11,Atlanta
2024-02-11,714,La Jolla Branch - 2024-02-11,Miami
2024-02-12,721,Midtown Branch - 2024-02-12,San Diego
2024-02-12,722,Lakeshore Branch - 2024-02-12,Denver
2024-02-12,723,Capitol Hill - 2024-02-12,Seattle
2024-02-12,724,La Jolla Branch - 2024-02-12,Chicago
2024-02-13,731,Midtown Branch - 2024-02-13,Miami
2024-02-13,732,Lakeshore Branch - 2024-02-13,Boston
2024-02-13,733,Capitol Hill - 2024-02-13,Chicago
2024-02-13,734,La Jolla Branch - 2024-02-13,Seattle
2024-02-14,741,Midtown Branch - 2024-02-14,Boston
2024-02-14,742,Lakeshore Branch - 2024-02-14,Austin
2024-02-14,743,Capitol Hill - 2024-02-14,Austin
2024-02-14,744,La Jolla Branch - 2024-02-14,San Francisco
2024-02-15,751,Midtown Branch - 2024-02-15,Atlanta
2024-02-15,752,Lakeshore Branch - 2024-02-15,Seattle
2024-02-15,753,Capitol Hill - 2024-02-15,Atlanta
2024-02-15,754,La Jolla Branch - 2024-02-15,Denver
2024-02-16,761,Midtown Branch - 2024-02-16,Austin
2024-02-16,762,Lakeshore Branch - 2024-02-16,New York
2024-02-16,763,Capitol Hill - 2024-02-16,Seattle
2024-02-16,764,La Jolla Branch - 2024-02-16,New York
2024-02-17,771,Midtown Branch - 2024-02-17,Chicago
2024-02-17,772,Lakeshore Branch - 2024-02-17,Boston
2024-02-17,773,Capitol Hill - 2024-02-17,Austin
2024-02-17,774,La Jolla Branch - 2024-02-17,Austin
2024-02-18,781,Midtown Branch - 2024-02-18,San Diego
2024-02-18,782,Lakeshore Branch - 2024-02-18,Austin
2024-02-18,783,Capitol Hill - 2024-02-18,Chicago
2024-02-18,784,La Jolla Branch - 2024-02-18,Boston
2024-02-19,791,Midtown Branch - 2024-02-19,San Francisco
2024-02-19,792,Lakeshore Branch - 2024-02-19,New York
2024-02-19,793,Capitol Hill - 2024-02-19,Boston
2024-02-19,794,La Jolla Branch - 2024-02-19,Miami
2024-02-20,801,Midtown Branch - 2024-02-20,Seattle
2024-02-20,802,Lakeshore Branch - 2024-02-20,Denver
2024-02-20,803,Capitol Hill - 2024-02-20,Denver
2024-02-20,804,La Jolla Branch - 2024-02-20,Boston
2024-02-21,811,Midtown Branch - 2024-02-21,Austin
2024-02-21,812,Lakeshore Branch - 2024-02-21,San Diego
2024-02-21,813,Capitol Hill - 2024-02-21,Miami
2024-02-21,814,La Jolla Branch - 2024-02-21,San Francisco
2024-02-22,821,Midtown Branch - 2024-02-22,Boston
2024-02-22,822,Lakeshore Branch - 2024-02-22,Seattle
2024-02-22,823,Capitol Hill - 2024-02-22,Chicago
2024-02-22,824,La Jolla Branch - 2024-02-22,Boston
2024-02-23,831,Midtown Branch - 2024-02-23,Chicago
2024-02-23,832,Lakeshore Branch - 2024-02-23,San Diego
2024-02-23,833,Capitol Hill - 2024-02-23,Seattle
2024-02-23,834,La Jolla Branch - 2024-02-23,Boston
2024-02-24,841,Midtown Branch - 2024-02-24,Chicago
2024-02-24,842,Lakeshore Branch - 2024-02-24,Austin
2024-02-24,843,Capitol Hill - 2024-02-24,Boston
2024-02-24,844,La Jolla Branch - 2024-02-24,San Diego
2024-02-25,851,Midtown Branch - 2024-02-25,San Francisco
2024-02-25,852,Lakeshore Branch - 2024-02-25,San Francisco
2024-02-25,853,Capitol Hill - 2024-02-25,Austin
2024-02-25,854,La Jolla Branch - 2024-02-25,Atlanta
2024-02-26,861,Midtown Branch - 2024-02-26,Denver
2024-02-26,862,Lakeshore Branch - 2024-02-26,Boston
2024-02-26,863,Capitol Hill - 2024-02-26,Boston
2024-02-26,864,La Jolla Branch - 2024-02-26,Denver
2024-02-27,871,Midtown Branch - 2024-02-27,Miami
2024-02-27,872,Lakeshore Branch - 2024-02-27,Seattle
2024-02-27,873,Capitol Hill - 2024-02-27,Denver
2024-02-27,874,La Jolla Branch - 2024-02-27,San Diego
2024-02-28,881,Midtown Branch - 2024-02-28,San Diego
2024-02-28,882,Lakeshore Branch - 2024-02-28,New York
2024-02-28,883,Capitol Hill - 2024-02-28,San Francisco
2024-02-28,884,La Jolla Branch - 2024-02-28,San Diego
2024-02-29,891,Midtown Branch - 2024-02-29,New York
2024-02-29,892,Lakeshore Branch - 2024-02-29,New York
2024-02-29,893,Capitol Hill - 2024-02-29,Denver
2024-02-29,894,La Jolla Branch - 2024-02-29,New York
